project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Mining,Maharashtra,Thane,62.6,33,0.2,0.45,0,0.89,0.21,0.23,0.65,0.67,132,0.37,0,0
Highways,Rajasthan,Bhilwara,21.59,16,0.51,0.54,0,0.31,0.31,0.25,0.21,0.57,213,0.56,1,208
Solar Parks,Odisha,Jharsuguda,17.85,21,0.27,0.45,0,0.63,0.95,0.99,0.75,0.51,141,0.36,1,352
Highways,Maharashtra,Pune,48.48,62,0.83,0.44,0,0.23,0.37,0.69,0.27,0.47,141,0.55,1,211
Mining,West Bengal,Howrah,11.51,26,0.32,0.78,0,0.85,0.12,0.38,0.31,0.33,127,0.38,0,0
Water Resources,Maharashtra,Nagpur,80.59,49,0.64,0.78,1,0.22,0.16,0.32,0.36,0.93,130,0.32,0,0
Water Resources,Gujarat,Rajkot,33.41,76,0.24,0.6,0,0.13,0.8,0.15,0.19,0.27,149,0.27,1,221
Railways,Odisha,Cuttack,30.21,60,0.44,0.71,1,0.35,0.78,0.22,0.44,0.65,180,0.15,1,228
Highways,West Bengal,Paschim Bardhaman,51.25,56,0.86,0.6,1,0.91,0.44,0.92,0.12,0.92,195,0.4,1,291
Water Resources,Karnataka,Bengaluru Urban,48.77,37,0.24,0.22,0,0.22,0.24,0.77,0.43,0.48,165,0.38,0,0
Industrial Corridors,Rajasthan,Udaipur,33.29,82,0.66,0.25,0,0.4,0.55,0.95,0.36,0.39,223,0.64,1,213
Water Resources,Bihar,Muzaffarpur,66.88,91,0.27,0.5,1,0.38,0.4,0.48,0.35,0.92,165,0.3,1,276
Water Resources,West Bengal,Hooghly,19.34,42,0.45,0.78,0,0.82,0.44,0.64,0.64,0.8,79,0.3,0,0
Water Resources,Uttar Pradesh,Kanpur,58.55,73,0.56,0.91,1,0.48,0.33,0.54,0.74,0.69,108,0.15,1,201
Water Resources,Rajasthan,Jodhpur,13.97,33,0.59,0.22,0,0.65,0.16,0.89,0.37,0.66,191,0.41,1,195
Solar Parks,West Bengal,North 24 Parganas,49.83,36,0.61,0.49,1,0.46,0.81,0.99,0.29,0.47,145,0.56,1,244
Solar Parks,Gujarat,Surat,25.48,55,0.64,0.37,0,0.6,0.66,0.94,0.49,0.68,142,0.2,0,0
Railways,Bihar,Darbhanga,11.6,42,0.33,0.84,0,0.16,0.85,0.64,0.76,0.74,116,0.06,0,0
Water Resources,Gujarat,Rajkot,40.66,46,0.44,0.86,0,0.44,0.55,0.16,0.63,0.22,141,0.46,1,208
Highways,Bihar,Muzaffarpur,32.22,62,0.13,0.36,0,0.87,0.99,0.66,0.08,0.29,142,0.07,0,0
Mining,Uttar Pradesh,Gorakhpur,9.64,21,0.75,0.75,0,0.72,0.97,0.19,0.48,0.44,182,0.3,0,0
Railways,Rajasthan,Udaipur,6.1,8,0.81,0.77,0,0.98,0.34,0.22,0.94,0.44,148,0.42,1,160
Highways,Karnataka,Bengaluru Urban,29.32,47,0.27,0.34,0,0.81,0.45,0.27,0.37,0.88,217,0.28,0,0
Water Resources,Gujarat,Ahmedabad,120.85,119,0.27,0.54,0,0.51,0.78,0.43,0.45,0.71,130,0.21,0,0
Urban Infrastructure,Gujarat,Ahmedabad,42.81,46,0.14,0.68,0,0.71,0.8,0.63,0.31,0.48,169,0.53,0,0
Water Resources,Madhya Pradesh,Jabalpur,19.4,29,0.92,0.22,1,0.8,0.92,0.4,0.5,0.81,85,0.23,1,250
Solar Parks,Bihar,Darbhanga,78.69,40,0.79,0.52,1,0.34,0.69,0.51,0.19,0.44,189,0.16,1,254
Mining,Tamil Nadu,Kanchipuram,68.43,63,0.41,0.32,0,0.15,0.53,0.14,0.27,0.94,96,0.28,1,328
Industrial Corridors,Rajasthan,Bhilwara,91.58,87,0.51,0.62,1,0.47,0.44,0.66,0.69,0.79,185,0.13,1,253
Mining,Bihar,Muzaffarpur,57.23,104,0.35,0.86,0,0.23,0.48,0.69,0.17,0.81,77,0.46,0,0
Industrial Corridors,Madhya Pradesh,Ujjain,67.27,48,0.61,0.61,1,0.35,0.87,0.19,0.88,0.4,113,0.48,1,231
Mining,Maharashtra,Nashik,59.44,99,0.71,0.23,0,0.95,0.98,0.81,0.33,0.31,197,0.06,0,0
Solar Parks,Bihar,Muzaffarpur,22.6,42,0.48,0.22,1,0.86,0.15,0.68,0.57,0.49,230,0.47,0,0
Industrial Corridors,Karnataka,Ballari,8.94,19,0.84,0.67,0,0.63,0.62,0.54,0.34,0.45,37,0.23,0,0
Highways,Rajasthan,Udaipur,21.83,30,0.54,0.46,0,0.46,0.57,0.6,0.48,0.78,110,0.44,0,0
Industrial Corridors,Madhya Pradesh,Jabalpur,80.15,58,0.22,0.65,0,0.34,0.44,0.55,0.86,0.33,242,0.47,1,247
Railways,Maharashtra,Nagpur,24.41,53,0.63,0.33,1,0.61,0.87,0.15,0.11,0.6,166,0.22,1,248
Highways,Odisha,Jharsuguda,29.48,39,0.49,0.81,0,0.58,0.62,0.76,0.82,0.67,113,0.16,0,0
Railways,Madhya Pradesh,Gwalior,13.03,47,0.9,0.87,0,0.8,0.38,0.56,0.55,0.49,226,0.55,0,0
Water Resources,Odisha,Cuttack,21.31,37,0.43,0.89,0,0.94,0.5,0.26,0.65,0.35,186,0.49,0,0
Mining,Rajasthan,Kota,32.88,59,0.44,0.44,1,0.4,0.42,0.71,0.1,0.87,164,0.55,1,256
Highways,Gujarat,Surat,49.11,89,0.65,0.72,0,0.29,0.49,0.73,0.74,0.3,73,0.31,0,0
Mining,Madhya Pradesh,Jabalpur,22.94,36,0.55,0.42,0,0.46,0.16,0.29,0.17,0.43,254,0.32,1,247
Water Resources,Uttar Pradesh,Lucknow,21.7,38,0.42,0.79,1,0.49,0.2,0.82,0.92,0.77,171,0.26,0,0
Urban Infrastructure,Odisha,Angul,64.96,105,0.94,0.29,1,0.14,0.66,0.51,0.77,0.65,146,0.35,1,263
Mining,Karnataka,Belagavi,42.96,40,0.36,0.79,1,0.88,0.72,0.26,0.49,0.75,225,0.44,0,0
Water Resources,Uttar Pradesh,Varanasi,47.41,28,0.34,0.54,1,1.0,0.67,0.69,0.88,0.81,118,0.54,1,345
Mining,West Bengal,Howrah,112.47,61,0.83,0.87,0,0.93,0.79,0.64,0.2,0.87,110,0.16,1,170
Water Resources,West Bengal,Howrah,22.11,47,0.1,0.78,0,0.87,0.95,0.25,0.94,0.43,116,0.29,0,0
Railways,Maharashtra,Nagpur,31.84,39,0.27,0.49,0,0.99,0.87,0.89,0.7,0.56,142,0.33,0,0
Water Resources,Gujarat,Rajkot,51.47,74,0.6,0.9,0,0.92,0.48,0.87,0.14,0.72,161,0.34,0,0
Industrial Corridors,Rajasthan,Kota,16.49,32,0.24,0.42,0,0.72,0.3,0.85,0.53,0.8,188,0.38,0,0
Urban Infrastructure,Madhya Pradesh,Indore,39.78,44,0.94,0.95,1,0.25,0.38,0.46,0.69,0.63,103,0.53,1,244
Mining,Tamil Nadu,Kanchipuram,33.71,53,0.49,0.8,0,0.24,0.63,0.84,0.6,0.59,173,0.58,0,0
Water Resources,Karnataka,Ballari,305.47,154,0.61,0.97,1,0.14,0.87,0.86,0.43,0.72,132,0.15,0,0
Water Resources,Odisha,Angul,35.87,66,0.24,0.24,0,0.47,0.73,1.0,0.27,0.49,155,0.48,0,0
Mining,Rajasthan,Udaipur,83.56,130,0.35,0.41,1,0.83,0.59,0.96,0.26,0.87,214,0.34,1,202
Urban Infrastructure,Uttar Pradesh,Gorakhpur,64.33,101,0.62,0.78,0,0.54,0.64,0.44,0.88,0.36,182,0.3,0,0
Urban Infrastructure,West Bengal,Howrah,13.13,22,0.57,0.92,1,0.43,0.58,0.28,0.26,0.86,185,0.12,1,327
Water Resources,Karnataka,Ballari,9.59,37,0.77,0.22,0,0.2,0.97,0.36,0.92,0.68,132,0.09,1,180
Highways,Tamil Nadu,Kanchipuram,40.35,25,0.33,0.2,0,0.15,0.83,0.55,0.24,0.65,246,0.64,1,200
Railways,Madhya Pradesh,Indore,90.55,110,0.66,0.4,1,0.46,0.8,0.82,0.4,0.55,190,0.44,1,264
Urban Infrastructure,Maharashtra,Aurangabad,41.69,82,0.35,0.87,0,0.19,0.57,0.75,0.06,0.32,140,0.32,0,0
Urban Infrastructure,Tamil Nadu,Kanchipuram,35.27,47,0.6,0.8,1,0.19,0.4,0.81,0.86,0.85,211,0.51,1,233
Solar Parks,Karnataka,Ballari,26.38,30,0.61,0.47,0,0.46,0.12,0.44,0.14,0.24,185,0.1,1,227
Industrial Corridors,Tamil Nadu,Tiruchirappalli,11.48,11,0.2,0.2,0,0.55,0.14,0.32,0.37,0.4,103,0.41,1,282
Urban Infrastructure,Karnataka,Belagavi,15.36,28,0.57,0.63,0,0.27,0.13,0.12,0.81,0.28,169,0.45,1,310
Railways,Karnataka,Bengaluru Urban,9.04,18,0.11,0.39,1,0.72,0.98,0.66,0.76,0.28,116,0.32,1,227
Industrial Corridors,Bihar,Gaya,13.7,27,0.53,0.78,1,0.48,0.2,0.82,0.81,0.49,68,0.2,1,221
Industrial Corridors,Odisha,Jharsuguda,21.74,39,0.69,0.55,1,0.18,0.23,0.9,0.87,0.32,140,0.62,1,240
Mining,West Bengal,Howrah,61.61,116,0.16,0.73,1,0.67,0.54,0.53,0.87,0.64,211,0.23,0,0
Mining,Bihar,Darbhanga,23.2,32,0.9,0.86,0,0.42,0.53,0.93,0.74,0.67,226,0.12,0,0
Mining,Madhya Pradesh,Jabalpur,40.63,44,0.49,0.62,1,0.15,0.93,0.28,0.57,0.86,137,0.43,1,217
Mining,Bihar,Gaya,36.9,75,0.9,0.46,0,0.95,0.17,0.56,0.56,0.42,147,0.39,1,255
Solar Parks,Gujarat,Rajkot,49.36,32,0.19,0.8,0,0.61,0.96,0.29,0.06,0.43,222,0.5,0,0
Urban Infrastructure,Gujarat,Ahmedabad,14.47,50,0.91,0.41,1,0.53,0.29,0.27,0.7,0.38,190,0.5,1,357
Mining,West Bengal,Murshidabad,77.27,96,0.19,0.9,0,0.87,0.97,0.96,0.25,0.79,182,0.42,0,0
Water Resources,Tamil Nadu,Salem,10.74,25,0.49,0.26,0,0.94,0.59,0.84,0.8,0.52,166,0.17,0,0
Highways,Odisha,Bhubaneswar,23.14,56,0.9,0.85,0,0.3,0.69,0.11,0.55,0.61,192,0.58,1,215
Mining,West Bengal,Murshidabad,32.57,85,0.3,0.27,0,0.83,0.38,0.34,0.94,0.48,158,0.2,0,0
Urban Infrastructure,Karnataka,Ballari,60.83,69,0.13,0.24,1,0.85,0.65,0.28,0.24,0.32,228,0.11,0,0
Mining,Uttar Pradesh,Gorakhpur,99.83,64,0.77,0.48,1,0.15,0.74,0.23,0.7,0.28,154,0.23,1,247
Solar Parks,Odisha,Sundargarh,61.22,93,0.61,0.95,0,0.74,0.11,0.73,0.54,0.85,153,0.34,1,176
Railways,Odisha,Sundargarh,102.79,119,0.54,0.97,0,0.16,0.13,0.61,0.89,0.4,67,0.17,0,0
Railways,Karnataka,Bengaluru Urban,17.06,34,0.13,0.36,0,0.64,0.99,0.51,0.29,0.91,207,0.25,1,169
Urban Infrastructure,Karnataka,Bengaluru Urban,85.82,155,0.66,0.32,1,0.7,0.51,0.27,0.1,0.91,116,0.36,1,263
Water Resources,Maharashtra,Nagpur,74.81,61,0.25,0.48,0,0.43,0.94,0.35,0.54,0.56,53,0.24,0,0
Railways,West Bengal,Murshidabad,4.87,34,0.89,0.46,0,0.89,0.76,0.42,0.52,0.92,151,0.1,0,0
Railways,Karnataka,Mysuru,27.76,43,0.68,0.79,1,0.82,0.44,0.81,0.33,0.22,144,0.17,1,210
Highways,Gujarat,Ahmedabad,53.6,85,0.7,0.55,0,0.93,0.24,0.99,0.94,0.27,180,0.53,0,0
Urban Infrastructure,Madhya Pradesh,Bhopal,21.93,34,0.3,0.81,0,0.38,0.98,0.27,0.11,0.38,189,0.62,1,188
Water Resources,Uttar Pradesh,Varanasi,13.89,40,0.85,0.78,0,0.12,0.63,0.41,0.56,0.36,122,0.14,0,0
Urban Infrastructure,West Bengal,Murshidabad,179.71,252,0.56,0.65,0,0.83,0.27,0.35,0.28,0.39,282,0.46,1,304
Railways,Rajasthan,Kota,36.19,62,0.83,0.85,0,0.3,0.71,0.14,0.05,0.54,150,0.59,0,0
Railways,Gujarat,Ahmedabad,36.99,81,0.33,0.35,0,0.52,0.18,0.3,0.94,0.25,84,0.23,1,171
Railways,Tamil Nadu,Tiruchirappalli,11.62,27,0.74,0.33,0,0.84,0.88,0.91,0.48,0.62,231,0.55,0,0
Industrial Corridors,Karnataka,Mysuru,20.29,31,0.59,0.79,1,0.29,0.18,0.86,0.82,0.43,192,0.59,0,0
Solar Parks,Rajasthan,Jodhpur,16.15,47,0.14,0.39,0,0.38,0.31,0.25,0.81,0.25,178,0.23,0,0
Mining,Karnataka,Ballari,78.51,114,0.44,0.2,0,0.5,0.18,0.43,0.78,0.76,140,0.08,1,193
Solar Parks,Odisha,Jharsuguda,49.59,88,0.26,0.91,0,0.34,0.19,0.38,0.46,0.69,162,0.6,0,0
Urban Infrastructure,Gujarat,Ahmedabad,20.98,56,0.41,0.69,0,0.52,0.57,0.23,0.86,0.8,62,0.25,1,148
Highways,Odisha,Bhubaneswar,51.85,58,0.43,0.55,0,0.11,0.72,0.66,0.38,0.9,147,0.06,1,197
Mining,Maharashtra,Pune,27.04,30,0.5,0.77,1,0.29,0.81,0.6,0.42,0.64,270,0.33,1,240
Highways,Odisha,Cuttack,39.95,42,0.61,0.46,1,0.85,0.73,0.48,0.28,0.79,117,0.12,1,209
Water Resources,Maharashtra,Nashik,39.8,64,0.59,0.94,0,0.47,0.43,0.87,0.45,0.35,167,0.59,0,0
Industrial Corridors,Maharashtra,Nashik,46.35,68,0.13,0.25,0,0.67,0.6,0.66,0.94,0.51,84,0.14,0,0
Urban Infrastructure,Rajasthan,Jodhpur,42.09,75,0.74,0.7,0,0.31,0.93,0.33,0.57,0.6,136,0.23,0,0
Industrial Corridors,Karnataka,Mysuru,46.38,35,0.91,0.81,0,0.68,0.45,0.44,0.8,0.61,103,0.52,0,0
Urban Infrastructure,Tamil Nadu,Kanchipuram,90.44,67,0.4,0.57,0,1.0,0.33,0.24,0.29,0.74,179,0.53,1,216
Highways,Odisha,Bhubaneswar,55.28,57,0.25,0.79,1,0.64,0.57,0.63,0.91,0.8,169,0.59,0,0
Highways,Gujarat,Surat,25.29,35,0.56,0.92,0,0.67,0.37,0.63,0.06,0.7,101,0.35,0,0
Highways,Maharashtra,Thane,30.62,66,0.7,0.78,0,0.2,0.34,0.88,0.89,0.24,163,0.64,1,255
Urban Infrastructure,Karnataka,Mysuru,88.6,59,0.68,0.44,0,0.46,0.8,0.87,0.86,0.46,165,0.36,1,168
Railways,Uttar Pradesh,Varanasi,36.23,38,0.62,0.64,0,0.87,0.9,0.85,0.11,0.63,167,0.52,1,186
Highways,West Bengal,Howrah,24.55,37,0.22,0.91,1,0.85,0.55,0.59,0.59,0.58,198,0.27,0,0
Industrial Corridors,Rajasthan,Udaipur,19.99,31,0.81,0.55,0,0.57,0.8,0.69,0.76,0.23,230,0.61,0,0
Water Resources,Tamil Nadu,Tiruchirappalli,41.2,79,0.46,0.73,0,0.91,0.27,0.8,0.41,0.94,132,0.46,1,144
Mining,Bihar,Bhagalpur,16.71,22,0.29,0.56,0,0.23,0.59,0.18,0.13,0.92,146,0.1,1,229
Urban Infrastructure,Rajasthan,Udaipur,92.56,139,0.17,0.29,0,0.69,0.67,0.37,0.8,0.78,152,0.12,0,0
Industrial Corridors,Uttar Pradesh,Lucknow,14.44,26,0.45,0.25,0,0.32,0.54,0.25,0.47,0.24,101,0.58,1,213
Solar Parks,West Bengal,Hooghly,108.03,92,0.63,0.94,0,0.68,0.21,0.56,0.29,0.52,114,0.54,0,0
Water Resources,Uttar Pradesh,Agra,26.36,35,0.67,0.68,1,0.18,0.76,0.85,0.11,0.51,185,0.25,1,298
Solar Parks,Odisha,Bhubaneswar,13.99,18,0.92,0.28,0,0.95,0.86,0.31,0.63,0.62,246,0.36,1,174
Mining,Maharashtra,Thane,38.53,69,0.23,0.87,1,0.81,0.67,0.76,0.09,0.24,113,0.56,0,0
Railways,Tamil Nadu,Madurai,15.45,20,0.94,0.61,1,0.28,0.25,0.47,0.76,0.52,263,0.11,1,249
Highways,Madhya Pradesh,Bhopal,34.04,88,0.66,0.8,0,0.67,0.17,0.91,0.74,0.77,134,0.13,0,0
Urban Infrastructure,Maharashtra,Aurangabad,20.86,32,0.49,0.3,1,0.78,0.37,0.66,0.34,0.95,214,0.48,1,264
Industrial Corridors,Madhya Pradesh,Bhopal,70.53,83,0.85,0.91,1,0.29,0.13,0.98,0.48,0.65,179,0.1,1,260
Highways,West Bengal,Howrah,36.94,71,0.69,0.66,0,0.18,0.86,0.32,0.65,0.91,168,0.26,0,0
Industrial Corridors,Karnataka,Belagavi,12.8,5,0.4,0.78,0,0.42,0.73,0.93,0.91,0.95,140,0.2,0,0
Urban Infrastructure,Bihar,Gaya,20.54,44,0.85,0.22,0,0.22,0.61,0.42,0.52,0.53,160,0.51,0,0
Solar Parks,Gujarat,Ahmedabad,58.2,76,0.67,0.45,1,0.61,0.9,0.66,0.95,0.7,128,0.05,1,235
Highways,Maharashtra,Pune,92.73,113,0.69,0.41,0,0.48,0.2,0.26,0.34,0.36,202,0.12,1,209
Mining,Tamil Nadu,Kanchipuram,31.94,32,0.86,0.94,0,0.52,0.74,0.78,0.52,0.56,210,0.11,0,0
Railways,Uttar Pradesh,Kanpur,14.36,6,0.48,0.34,0,0.59,0.23,0.98,0.15,0.26,130,0.24,1,268
Mining,Tamil Nadu,Salem,76.96,101,0.66,0.75,0,0.98,0.15,0.81,0.55,0.22,86,0.19,1,163
Railways,West Bengal,Howrah,58.0,60,0.73,0.23,1,0.81,0.22,0.65,0.53,0.87,145,0.19,1,281
Water Resources,Madhya Pradesh,Gwalior,94.18,125,0.49,0.35,0,0.67,0.96,0.5,0.81,0.84,249,0.27,0,0
Industrial Corridors,Uttar Pradesh,Varanasi,41.77,31,0.17,0.46,0,0.43,0.5,0.41,0.95,0.43,170,0.18,0,0
Highways,Gujarat,Kutch,21.84,37,0.76,0.82,1,0.12,0.14,0.48,0.94,0.54,211,0.11,1,272
Highways,Gujarat,Rajkot,50.07,68,0.14,0.82,0,0.2,0.63,0.4,0.26,0.57,118,0.4,1,175
Water Resources,Maharashtra,Pune,42.99,63,0.71,0.94,1,0.76,0.28,0.85,0.35,0.59,138,0.62,1,220
Railways,West Bengal,Howrah,20.91,41,0.87,0.92,0,0.43,0.11,0.9,0.3,0.3,146,0.41,0,0
Solar Parks,Karnataka,Mysuru,38.82,55,0.39,0.26,1,0.4,0.78,0.95,0.23,0.78,107,0.5,0,0
Urban Infrastructure,West Bengal,North 24 Parganas,28.33,30,0.19,0.85,0,0.9,0.24,0.48,0.19,0.46,167,0.63,0,0
Mining,Madhya Pradesh,Bhopal,60.03,51,0.3,0.55,0,0.54,0.95,0.59,0.51,0.22,123,0.14,0,0
Water Resources,Tamil Nadu,Tiruchirappalli,49.09,40,0.58,0.88,0,0.91,0.63,0.62,0.84,0.71,202,0.33,0,0
Industrial Corridors,Gujarat,Vadodara,14.28,24,0.9,0.27,1,0.9,0.18,0.69,0.58,0.82,164,0.4,1,261
Water Resources,Tamil Nadu,Madurai,13.17,17,0.54,0.84,0,0.17,0.3,0.1,0.84,0.89,226,0.24,1,169
Mining,Tamil Nadu,Tiruchirappalli,30.82,54,0.2,0.32,0,0.95,0.65,0.86,0.91,0.71,84,0.42,0,0
Mining,Tamil Nadu,Madurai,34.0,35,0.63,0.46,0,0.17,0.4,0.34,0.39,0.34,136,0.42,1,211
Industrial Corridors,Gujarat,Rajkot,60.87,48,0.72,0.22,1,0.97,0.58,0.52,0.8,0.64,141,0.56,1,267
Industrial Corridors,Rajasthan,Jodhpur,49.93,43,0.43,0.3,0,0.51,0.82,0.86,0.1,0.88,180,0.55,0,0
Highways,Odisha,Jharsuguda,106.37,134,0.71,0.55,1,0.78,0.81,1.0,0.48,0.46,141,0.14,1,250
Mining,Madhya Pradesh,Ujjain,22.79,47,0.38,0.84,0,0.74,0.73,0.82,0.38,0.92,237,0.15,0,0
Urban Infrastructure,Rajasthan,Kota,21.77,46,0.77,0.8,0,0.57,0.9,0.12,0.23,0.27,151,0.18,1,197
Urban Infrastructure,Madhya Pradesh,Indore,15.37,51,0.39,0.38,0,0.66,0.28,0.43,0.44,0.75,119,0.21,0,0
Railways,Uttar Pradesh,Lucknow,60.31,121,0.32,0.32,1,0.95,0.26,0.32,0.45,0.29,152,0.39,1,239
Water Resources,West Bengal,Murshidabad,33.7,28,0.85,0.5,0,0.93,0.82,0.97,0.78,0.8,145,0.25,0,0
Industrial Corridors,West Bengal,Hooghly,7.52,21,0.57,0.89,1,0.69,0.39,0.34,0.83,0.27,201,0.62,1,409
Highways,Bihar,Patna,38.93,63,0.34,0.27,0,0.69,0.56,0.95,0.64,0.44,141,0.12,0,0
Urban Infrastructure,West Bengal,North 24 Parganas,40.97,49,0.89,0.62,1,0.32,0.77,0.94,0.62,0.78,91,0.2,0,0
Solar Parks,Gujarat,Rajkot,29.5,40,0.69,0.27,0,0.85,0.46,0.86,0.15,0.55,167,0.57,1,220
Highways,Karnataka,Belagavi,41.99,73,0.29,0.57,1,0.67,0.22,0.19,0.57,0.86,130,0.4,1,260
Highways,Maharashtra,Pune,12.48,46,0.62,0.3,1,0.84,0.71,0.1,0.3,0.5,108,0.38,1,318
Urban Infrastructure,Bihar,Gaya,123.08,93,0.84,0.26,0,0.69,0.84,0.81,0.32,0.95,161,0.41,1,182
Solar Parks,Maharashtra,Thane,44.89,70,0.69,0.35,0,0.37,0.11,0.86,0.14,0.21,154,0.2,0,0
Railways,Madhya Pradesh,Indore,8.01,30,0.31,0.4,0,0.27,0.61,0.97,0.62,0.72,150,0.51,1,164
Urban Infrastructure,Maharashtra,Aurangabad,32.96,58,0.65,0.42,1,0.17,0.52,0.3,0.58,0.89,171,0.35,1,284
Solar Parks,Maharashtra,Nagpur,45.85,67,0.63,0.7,1,0.63,0.33,0.76,0.25,0.6,133,0.08,1,236
Highways,Bihar,Patna,13.59,40,0.8,0.24,0,0.36,0.24,0.57,0.29,0.94,165,0.16,1,237
Solar Parks,Uttar Pradesh,Varanasi,50.75,40,0.25,0.26,0,0.67,0.27,0.4,0.75,0.73,133,0.54,0,0
Highways,Tamil Nadu,Coimbatore,127.07,145,0.69,0.35,1,0.15,0.75,0.65,0.76,0.52,197,0.26,1,245
Water Resources,West Bengal,Howrah,19.78,23,0.12,0.88,0,0.44,0.58,0.59,0.49,0.59,158,0.51,0,0
Urban Infrastructure,West Bengal,Paschim Bardhaman,46.65,27,0.69,0.69,0,0.33,0.98,0.36,0.18,0.86,238,0.45,0,0
Industrial Corridors,Gujarat,Vadodara,39.13,69,0.92,0.77,0,0.43,0.32,0.34,0.1,0.92,137,0.23,1,230
Urban Infrastructure,Bihar,Bhagalpur,71.85,136,0.25,0.49,1,0.15,0.96,0.54,0.29,0.62,176,0.13,1,253
Water Resources,Gujarat,Vadodara,30.35,24,0.36,0.37,0,0.75,0.56,0.53,0.71,0.43,210,0.53,1,214
Mining,Karnataka,Dakshina Kannada,14.11,34,0.6,0.23,1,0.21,0.23,0.37,0.59,0.38,184,0.44,1,320
Mining,Karnataka,Bengaluru Urban,68.26,53,0.72,0.58,0,0.11,0.23,0.34,0.7,0.56,166,0.23,1,205
Mining,Gujarat,Rajkot,14.79,34,0.39,0.65,0,0.95,0.65,0.96,0.47,0.42,175,0.36,0,0
Urban Infrastructure,Bihar,Bhagalpur,140.76,110,0.66,0.9,0,0.27,0.85,0.88,0.73,0.52,182,0.42,0,0
Railways,Gujarat,Kutch,51.86,32,0.86,0.89,0,0.85,0.77,0.84,0.48,0.83,173,0.05,0,0
Urban Infrastructure,West Bengal,Howrah,20.51,20,0.72,0.53,0,0.97,0.69,0.29,0.13,0.55,159,0.45,0,0
Water Resources,Rajasthan,Jaipur,80.39,92,0.7,0.53,0,0.58,0.25,0.27,0.12,0.68,193,0.44,1,251
Water Resources,Odisha,Bhubaneswar,32.87,59,0.42,0.33,0,0.57,0.2,0.83,0.8,0.27,156,0.1,0,0
Industrial Corridors,Maharashtra,Nagpur,27.74,37,0.87,0.4,0,0.43,0.1,0.27,0.62,0.77,115,0.52,1,205
Solar Parks,Odisha,Bhubaneswar,19.21,27,0.34,0.92,1,0.48,0.19,0.55,0.3,0.56,252,0.55,1,359
Urban Infrastructure,Bihar,Bhagalpur,7.37,5,0.27,0.31,1,0.53,0.79,0.3,0.73,0.47,199,0.22,1,318
Urban Infrastructure,Odisha,Jharsuguda,53.71,67,0.41,0.96,0,0.24,0.91,0.44,0.17,0.66,118,0.15,0,0
Highways,Karnataka,Belagavi,9.0,12,0.65,0.59,0,0.43,0.32,0.87,0.63,0.28,149,0.46,1,210
Water Resources,Madhya Pradesh,Indore,17.56,38,0.83,0.56,0,0.83,0.82,0.9,0.94,0.51,134,0.12,0,0
Highways,Maharashtra,Pune,46.82,45,0.21,0.34,0,0.26,0.28,1.0,0.19,0.81,137,0.56,1,191
Highways,Tamil Nadu,Coimbatore,22.19,52,0.79,0.72,0,0.76,0.32,0.95,0.18,0.4,199,0.34,0,0
Urban Infrastructure,Bihar,Gaya,37.55,24,0.79,0.56,1,0.69,0.3,0.7,0.47,0.89,145,0.6,1,300
Railways,Maharashtra,Thane,12.54,32,0.6,0.49,0,0.15,0.15,0.49,0.63,0.65,246,0.44,1,219
Solar Parks,Odisha,Angul,25.06,29,0.75,0.41,1,0.12,0.27,0.15,0.07,0.61,80,0.22,1,287
Solar Parks,Karnataka,Bengaluru Urban,37.74,47,0.25,0.25,0,0.42,0.44,0.65,0.5,0.5,158,0.33,1,219
Water Resources,Uttar Pradesh,Gorakhpur,15.47,38,0.24,0.61,0,0.72,0.46,0.29,0.12,0.76,100,0.37,0,0
Industrial Corridors,Rajasthan,Kota,127.62,214,0.83,0.44,0,0.4,0.38,0.87,0.27,0.62,174,0.54,0,0
Water Resources,Tamil Nadu,Kanchipuram,19.89,24,0.52,0.75,1,0.7,0.56,0.59,0.69,0.8,180,0.57,1,244
Railways,Rajasthan,Jaipur,99.76,37,0.31,0.76,0,0.7,0.44,0.76,0.71,0.45,200,0.46,0,0
Railways,Maharashtra,Aurangabad,28.96,31,0.69,0.46,0,0.83,0.97,0.71,0.71,0.73,104,0.23,0,0
Solar Parks,Karnataka,Belagavi,9.44,14,0.86,0.72,0,0.19,0.83,0.41,0.11,0.91,179,0.37,1,194
Mining,Karnataka,Mysuru,13.34,24,0.64,0.4,1,0.62,0.94,0.78,0.76,0.41,120,0.13,0,0
Highways,Odisha,Bhubaneswar,38.12,73,0.4,0.77,0,0.16,0.6,0.86,0.44,0.94,164,0.19,1,144
Highways,West Bengal,Murshidabad,75.66,46,0.51,0.21,0,0.26,0.71,0.77,0.48,0.51,140,0.23,0,0
Solar Parks,Odisha,Sundargarh,136.43,161,0.74,0.32,0,0.39,0.25,0.8,0.43,0.23,103,0.09,1,205
Water Resources,West Bengal,Howrah,36.69,60,0.16,0.39,0,0.74,0.78,0.42,0.82,0.47,192,0.58,1,252
Railways,West Bengal,Paschim Bardhaman,12.91,24,0.28,0.8,1,0.98,0.31,0.95,0.66,0.31,148,0.12,0,0
Water Resources,Tamil Nadu,Kanchipuram,41.38,69,0.49,0.25,0,0.41,0.23,0.48,0.5,0.43,198,0.47,1,286
